src,"companion<2""",gaia star,VIS masked/zero px,NISP masked core,Rubin mask bits,any pathology
814,False,False,False,True,True,True
1223,False,True,False,True,True,True
1397,False,False,False,True,True,True
1957,False,True,False,True,True,True
2172,False,True,False,False,True,True
2605,False,False,False,True,True,True
3013,False,True,False,True,True,True
3244,False,False,False,False,True,True
3419,False,False,False,False,True,True
3511,False,False,False,False,True,True
3733,False,True,False,True,True,True
4091,False,False,False,True,True,True
4277,False,False,False,False,True,True
4867,False,False,False,False,True,True
4965,False,True,False,True,True,True
5111,False,False,False,False,True,True
5185,False,False,False,False,True,True
5210,True,False,False,True,True,True
5318,False,True,False,False,True,True
5602,True,True,False,True,True,True
5721,False,False,False,False,True,True
5730,False,False,False,False,True,True
5788,False,False,False,False,True,True
5897,False,False,False,False,True,True
6023,False,False,False,False,True,True
6071,False,True,False,False,True,True
6115,True,True,False,False,True,True
6157,False,False,False,False,True,True
6287,False,False,False,False,True,True
6431,True,True,False,True,True,True
6489,False,False,False,False,True,True
6551,False,True,False,True,True,True
7028,False,False,False,False,True,True
7101,False,False,False,False,True,True
7764,False,False,False,False,True,True
8129,False,False,False,False,True,True
8137,False,True,False,True,True,True
8157,False,False,False,False,True,True
8225,False,False,False,False,True,True
8457,False,False,False,False,True,True
8649,True,True,False,False,True,True
8853,True,False,True,False,True,True
8871,False,True,False,True,True,True
8928,True,True,False,False,True,True
8980,False,False,False,True,True,True
9053,True,False,False,False,True,True
9300,False,False,False,False,True,True
9928,False,False,False,True,True,True
10000,False,False,False,False,True,True
10013,False,False,False,False,True,True
10206,False,True,False,False,True,True
10664,False,False,False,False,True,True
11320,False,False,False,False,True,True
11346,False,True,False,False,True,True
11374,False,False,False,False,True,True
11589,False,True,False,False,True,True
11778,False,False,False,False,True,True
11823,False,False,False,False,True,True
11879,False,False,False,False,True,True
12021,False,False,False,False,True,True
12072,False,False,False,False,True,True
12462,False,False,False,False,True,True
12635,False,False,False,False,True,True
12881,False,True,False,False,True,True
12970,False,False,False,True,True,True
13052,False,False,False,False,True,True
13185,False,False,False,False,True,True
13769,False,False,False,False,True,True
14044,False,False,False,False,True,True
14174,False,False,False,False,True,True
14292,False,False,False,False,True,True
14509,False,False,False,False,True,True
14527,False,False,False,True,True,True
14575,False,False,False,True,True,True
15374,False,True,False,True,True,True
15661,False,True,False,False,True,True
15969,False,False,False,False,True,True
16322,True,False,False,False,True,True
16621,False,True,False,False,True,True
16682,True,False,False,False,True,True
16749,False,False,False,False,True,True
17214,False,True,False,False,True,True
17452,False,False,False,False,True,True
18155,False,False,False,False,True,True
18404,False,False,False,False,True,True
18516,False,False,False,False,True,True
18585,False,False,False,False,True,True
18696,False,False,False,False,True,True
18751,False,True,False,False,True,True
19378,True,False,False,True,True,True
19432,False,True,False,False,True,True
19590,False,False,False,False,True,True
19682,False,False,False,False,True,True
19691,False,False,False,False,True,True
20287,False,False,False,False,True,True
20318,False,False,False,True,True,True
20374,False,False,False,False,True,True
20504,False,True,False,False,True,True
20517,False,False,False,False,True,True
21034,True,False,False,False,True,True
21350,False,False,False,False,True,True
21421,True,False,False,False,True,True
21597,False,False,False,False,True,True
22501,False,False,False,False,True,True
22548,False,False,False,False,True,True
22722,False,False,False,False,True,True
23098,False,False,False,False,True,True
23255,True,True,False,False,True,True
23486,False,False,False,False,True,True
23766,False,False,False,False,True,True
23893,False,True,False,False,True,True
23905,False,False,False,False,True,True
23973,False,False,False,False,True,True
24042,False,False,False,False,True,True
24211,False,False,False,False,True,True
24273,False,False,False,False,True,True
24367,True,True,False,False,True,True
24654,False,False,False,False,True,True
25007,False,False,False,False,True,True
25133,True,False,False,False,True,True
25550,False,False,False,False,True,True
25729,False,False,False,False,True,True
25861,False,False,False,False,True,True
26134,False,False,False,False,True,True
26175,False,False,False,False,True,True
26200,False,True,False,True,True,True
26297,False,True,False,False,True,True
26379,False,False,False,False,True,True
26742,False,False,False,True,True,True
27201,False,False,False,False,True,True
27274,False,True,False,False,True,True
27406,False,False,False,False,True,True
27434,False,False,False,False,True,True
27585,False,False,False,False,True,True
27817,False,False,False,False,True,True
27850,False,True,False,True,True,True
28021,False,False,False,False,True,True
28064,True,False,False,False,True,True
28662,False,True,False,False,True,True
28733,False,False,False,False,True,True
28785,False,False,False,False,True,True
28819,False,False,False,False,True,True
29132,False,False,False,False,True,True
29480,True,False,False,False,True,True
29675,False,False,False,False,True,True
29726,False,False,False,False,True,True
30064,True,False,False,False,True,True
30832,False,False,False,False,True,True
31113,False,False,False,False,True,True
31491,False,False,False,False,True,True
31727,False,False,False,False,True,True
32674,False,False,False,False,True,True
32714,True,True,False,False,True,True
32772,False,False,False,False,True,True
33118,False,True,False,False,True,True
33276,False,False,False,False,True,True
33553,False,False,False,False,True,True
33871,False,False,False,False,True,True
33908,False,False,False,False,True,True
34089,False,True,False,False,True,True
34263,False,False,False,False,True,True
34538,False,False,False,False,True,True
34984,False,True,False,False,True,True
35018,False,False,False,False,True,True
35233,False,False,False,False,True,True
35265,False,False,False,False,True,True
35343,False,False,False,False,True,True
35500,True,True,False,False,True,True
35514,True,False,False,False,True,True
36044,True,False,False,False,True,True
36090,False,True,False,False,True,True
36143,False,False,False,False,True,True
36273,False,False,False,False,True,True
36373,False,False,False,False,True,True
36409,False,False,False,False,True,True
36473,False,False,False,False,True,True
36933,False,False,False,False,True,True
37020,False,False,False,False,True,True
37145,True,False,False,False,True,True
37170,False,False,False,False,True,True
37540,False,False,False,False,True,True
