src,vmag,k,peak,n_at_peak,badfrac
11874,20.963812256729234,0,3.9950845,1,0.0
21012,18.858742184954895,0,22.997454,1,0.0
35747,21.37607754052671,0,2.9280505,1,0.0
22275,19.023280002433644,0,22.145575,2,0.0
7040,22.160631214626427,0,1.2012674,1,0.0
20321,21.738926974222597,0,1.9577742,1,0.0
6007,15.916446130691956,0,397.8267,1,0.0
37633,16.095787276688064,1,372.36716,1,0.0
2735,21.247818531873538,0,3.4390068,1,0.0
21057,17.829524800382092,0,79.41485,1,0.0
11964,19.889600941695996,0,10.458973,1,0.0
11920,22.06857656732254,0,1.5626149,1,0.0
21003,22.120938199360968,0,1.3682573,1,0.0
7189,17.49360517877603,0,93.29639,1,0.0
21016,15.857728989272218,0,489.49396,1,0.0
21082,21.63488713097125,0,2.2961025,1,0.0
7362,20.881346502135077,0,4.116345,1,0.0
36044,22.036205063724477,3,1.4934928,1,0.0
19518,21.686646455267788,0,1.8232661,2,0.0
36115,20.872354404314194,0,4.1047835,1,0.0
7372,22.045510082439726,0,1.5505857,1,0.0
21162,21.889597473656174,0,1.9393718,1,0.0
7378,20.44612964442493,0,7.4766436,1,0.0
20504,19.728242111969248,5,14.82511,1,0.0
11961,21.55163079142361,0,2.2090662,1,0.0
4601,20.960748434037747,0,3.313196,2,0.0
21212,20.22622824480973,0,8.326163,1,0.0
7404,21.975859287272783,0,1.533475,1,0.0
22658,19.91978814127779,0,11.597982,1,0.0
19624,18.048032500078875,0,61.588608,1,0.0
36131,18.89118100733976,0,27.194881,1,0.0
20547,20.990738012664792,0,4.3252635,1,0.0
7217,20.239123085114876,0,7.376368,1,0.0
21300,22.387062396613263,0,1.0191334,1,0.0
6052,22.497826253999136,0,1.0960485,1,0.0
36429,18.597145353290358,0,37.03853,1,0.0
7076,21.25134314206825,0,3.6968672,1,0.0
21323,21.2539557962695,0,3.148128,1,0.0
2795,19.537793481517625,0,14.633556,1,0.0
11738,20.823373128794838,0,4.619027,1,0.0
7220,16.61816729368712,0,200.93176,2,0.0
6110,22.20787574017007,0,1.3420321,1,0.0
20634,17.341796466374955,0,100.23149,1,0.0
21494,21.80369841639498,0,2.159253,1,0.0
20682,21.534074786074616,0,2.4934278,1,0.0
21420,21.470985477902282,0,2.4712408,2,0.0
36777,22.230511302571532,0,1.1840518,1,0.0
20666,19.032677765859255,0,23.316137,1,0.0
12217,22.4937926764708,0,1.2451342,1,0.0
21542,21.7130115204843,0,2.5155537,1,0.0
7111,17.9521187325092,0,63.745735,2,0.0
6060,15.943632253174746,0,232.24362,1,0.0
19871,21.240180000534725,0,3.2041955,2,0.0
21645,21.269706548157775,0,3.1400397,1,0.0
36935,20.778066081673966,0,4.8891892,1,0.0
37032,20.72649209880754,0,5.4605556,1,0.0
7263,18.801146344236,0,30.739647,1,0.0
7265,18.25957732573297,0,46.735764,1,0.0
21712,17.30617139298301,0,129.36255,1,0.0
21818,22.371841533814703,0,1.1574165,1,0.0
3054,18.565390548304038,0,41.415737,1,0.0
37188,18.615758852411446,0,41.867973,1,0.0
11827,19.808120667427886,0,10.12296,2,0.0
6071,20.03739313196774,2,11.316115,1,0.0
4670,19.423795614465448,0,15.690208,1,0.0
5991,15.90168542729924,0,411.90906,1,0.0
21948,21.730970218140993,0,2.5916893,1,0.0
12462,21.429292790768308,4,2.2056613,1,0.0
37378,18.878225762032823,0,31.82662,1,0.0
37312,20.083482601662674,0,8.054247,1,0.0
7612,19.45335930414441,0,14.553708,1,0.0
6072,20.310088108626537,0,9.74321,1,0.0
20185,21.676072049180867,0,2.378788,1,0.0
37431,21.59791227818343,0,2.2445166,1,0.0
11540,19.744094309817868,0,13.76352,1,0.0
12538,21.726167526376432,0,2.296115,1,0.0
20220,22.365480566245058,0,1.1240482,1,0.0
7151,19.688771409266845,0,12.440854,1,0.0
7642,16.44446046794336,0,340.55304,1,0.0
20252,20.58152275546791,0,5.1810584,1,0.0
37585,16.813723651138254,0,239.37236,1,0.0
20250,21.099218181064217,0,4.494586,1,0.0
11567,21.263679205453823,0,2.9741957,1,0.0
37703,19.01611446978362,0,21.586134,1,0.0
11589,20.163844880907632,3,7.674604,1,0.0
37667,20.85373780453074,0,5.3080416,1,0.0
13207,22.257170867177656,0,1.1300994,1,0.0
12488,21.641124364036504,0,2.2427156,1,0.0
22428,19.67353481227851,0,16.934479,1,0.0
22386,20.82244389106645,0,5.5980344,1,0.0
13371,20.508437659052216,0,6.8255353,1,0.0
22726,19.758734456832162,0,12.746162,1,0.0
21235,17.994320749186812,0,58.184437,1,0.0
12663,20.103732344999788,0,8.22774,1,0.0
7413,17.176548441786977,0,152.37459,1,0.0
22750,20.276859433502807,0,7.612225,1,0.0
3013,15.95342516849368,5,507.11066,1,0.012345679012345678
22652,20.365096284158604,0,8.372638,1,0.0
22797,21.594016398842626,0,2.1456947,1,0.0
6199,22.118855777886267,0,1.3805962,1,0.0
22829,18.886568463253123,0,28.695433,1,0.0
12178,21.804019843006763,0,1.750097,1,0.0
6115,18.971493792460663,5,29.204674,1,0.0
22925,17.048917378885868,0,138.4159,1,0.0
7820,19.36295905882734,0,15.025125,1,0.0
12881,19.497107900931184,2,17.327034,1,0.0
22965,19.646732061341364,0,15.745235,1,0.0
21586,21.962185114288104,0,1.4203268,1,0.0
12239,20.235027975490176,0,9.599273,1,0.0
22930,22.463902540192667,0,0.9147472,1,0.0
23015,22.401823202069117,0,1.0444868,1,0.0
22961,22.140569122991423,0,1.662138,1,0.0
4645,21.140557408003684,0,3.9251063,1,0.0
6216,21.190498832381916,0,4.5792317,1,0.0
21661,22.178995827014646,0,1.4272236,1,0.0
1619,19.918762397350946,0,12.091183,1,0.0
12967,21.32834421971239,0,3.1641827,1,0.0
23129,22.064238639368742,0,1.4870565,1,0.0
21674,21.567474768599496,0,2.3675566,1,0.0
21694,21.64018571669711,0,2.5146186,1,0.0
23035,19.730379390665565,0,13.876576,1,0.0
23070,20.12393237168659,0,8.866954,1,0.0
23182,19.64632521082074,0,14.761357,1,0.0
12970,19.181922701200854,5,21.851458,1,0.0
13037,21.181797505458164,0,3.5181167,1,0.0
13067,19.65250441594961,0,11.61362,1,0.0
12370,21.315145149369673,0,2.8424945,1,0.0
23346,18.43198315589012,0,38.22156,1,0.0
23282,17.761759321628823,0,73.16658,1,0.0
4781,20.673294721737477,0,5.4813647,1,0.0
23421,20.377575834250383,0,6.5535145,1,0.0
23423,19.921375792034734,0,13.52644,1,0.0
13125,21.904368627396554,0,1.8871703,1,0.0
6245,15.774257849372624,0,452.30646,1,0.0
4799,19.764016623982698,0,11.3882475,1,0.0
7971,17.8082912554248,0,75.604904,1,0.0
23442,22.34133384681236,0,1.5583522,1,0.0
23584,22.137315673376722,0,1.4179325,1,0.0
22099,20.841565591135176,0,3.954596,1,0.0
22090,22.461171192415158,0,1.078267,1,0.0
7986,21.69914796175364,0,2.4090326,1,0.0
23651,21.783156391193188,0,2.3193123,1,0.0
13245,19.060293129648926,0,21.016386,1,0.0
13265,22.110281144369225,0,1.4265244,1,0.0
25380,21.39996520981597,0,2.4251354,1,0.0
754,20.767140799327567,0,5.2992673,1,0.0
6164,18.035361623704286,0,20.131289,1,0.5061728395061729
4810,20.10045834503351,0,8.690072,1,0.0
25424,21.823787757329224,0,1.753307,2,0.0
8065,19.396906956226577,0,16.126566,2,0.0
23842,17.41736221133901,0,95.75557,1,0.0
23861,22.09622869498205,0,1.6072233,1,0.0
23893,17.980682556314036,5,66.42535,1,0.0
13418,19.574324020152854,0,17.205713,1,0.0
23937,21.09617243278645,0,3.8596594,1,0.0
13435,22.02269422925133,0,1.499235,2,0.0
8114,19.33565984868257,0,18.517271,1,0.0
24122,18.06548587315936,0,70.86352,1,0.0
24133,21.541977109471745,0,2.2726734,1,0.0
24187,22.10583221646279,0,1.4625472,1,0.0
24332,19.220369999625543,0,20.746248,1,0.0
22663,21.691222673176046,0,2.2668521,1,0.0
12670,16.912402105307287,0,2.7015626,1,0.41975308641975306
13513,20.93274226039958,0,4.2045665,1,0.0
24231,20.507369918369992,0,6.066505,1,0.0
24334,21.731373516396644,0,1.9446255,1,0.0
24367,19.10616675503482,4,20.045853,1,0.0
13563,19.757283520040488,0,10.849153,1,0.0
13598,19.15489868827435,0,26.201471,1,0.0
24487,22.011512943340282,0,1.6129972,1,0.0
6305,19.36112286195955,1,17.240065,1,0.0
8179,18.97843551665676,0,21.807049,1,0.0
24412,20.445262551451293,0,6.4115877,1,0.0
3311,20.788386419770802,0,4.746431,1,0.0
13672,21.47903189699357,0,2.7693603,1,0.0
24470,19.34101039269634,0,15.66946,1,0.0
8215,20.497504673993156,0,6.2485924,1,0.0
24747,18.29141102810372,0,43.46452,2,0.0
4911,18.24629303296815,0,56.52783,1,0.0
24766,21.835679815947575,0,2.3255532,1,0.0
8269,20.990990256599268,0,3.541619,1,0.0
24841,19.40155113514693,0,20.18538,1,0.0
24906,20.49532823783243,0,6.6229343,1,0.0
24950,20.83108948894541,0,4.467116,1,0.0
8320,22.44058569099753,0,1.0788599,1,0.0
4933,21.634683394970075,0,2.0417912,1,0.0
23255,17.991692856716618,5,60.953007,1,0.0
25001,20.382661094098527,0,6.7038383,1,0.0
13852,22.326766440330566,0,1.1697028,1,0.0
23412,17.799081111808846,0,72.86228,2,0.0
13876,22.0458311841864,0,1.478919,1,0.0
6329,22.456856319551317,0,1.3655926,1,0.0
25086,20.943281208722258,0,4.2561607,1,0.0
13980,21.653019835547322,0,2.6929824,1,0.0
8422,21.49209531893339,0,2.712306,1,0.0
25334,20.648269739651134,0,5.880659,1,0.0
6348,18.136780943125142,0,61.46051,1,0.0
26896,17.63645471105732,0,83.71029,1,0.0
25500,21.63550898709664,0,2.16665,1,0.0
26928,18.83253303422399,0,32.46683,1,0.0
14133,19.056341124191402,0,24.430868,1,0.0
23944,21.79787218663067,0,2.0942245,1,0.0
8442,22.40550587537742,0,0.9912271,1,0.0
25575,18.747887385532678,0,33.026,1,0.0
14154,17.606942478491177,0,78.76318,1,0.0
25589,21.420764318458247,0,3.0736878,1,0.0
4965,16.31463495852123,3,373.09265,1,0.0
14161,18.07367908788293,0,53.383846,1,0.0
8483,22.04142971215179,0,1.7396111,1,0.0
27081,21.307229567659565,0,2.9376197,1,0.0
25659,20.59924744635569,0,7.092396,1,0.0
4988,21.8877505459183,0,1.7919081,1,0.0
8510,18.163674494744892,0,45.325302,1,0.0
6287,22.264168361945288,2,1.1343902,1,0.0
25769,19.35403697521973,0,21.755854,1,0.0
25870,21.90732280692943,0,1.827165,1,0.0
8137,16.660576847158218,5,210.96619,1,0.0
14274,17.008856289332446,1,181.57167,1,0.0
14292,22.001631483053544,3,1.5672289,1,0.0
25819,17.594642008757347,0,94.770836,1,0.0
25824,21.94439937358429,0,1.7802832,1,0.0
24415,18.064329444334067,0,65.77803,1,0.0
842,18.130618551124098,0,63.89149,1,0.0
8572,19.869408706356143,0,11.972798,1,0.0
25923,21.614284373948465,0,2.172518,1,0.0
25925,21.927939568576722,0,1.6372502,1,0.0
8590,21.253712526953066,0,3.8524718,1,0.0
14319,18.833363251150452,0,29.436546,1,0.0
25998,22.499883464184702,0,1.2712988,1,0.0
26028,19.883658479843934,0,13.017935,1,0.0
25816,21.976793096982846,0,1.6137894,1,0.0
8617,21.495354369135235,0,2.6628702,1,0.0
14359,19.412260211962362,0,18.15184,1,0.0
26111,20.173593594222684,0,7.4692802,1,0.0
14444,21.883227030688523,0,1.6005108,2,0.0
24602,21.105759304207616,1,4.4664426,1,0.0
8632,21.59805902495806,0,2.1731672,1,0.0
24621,21.438004589951404,0,2.8329952,1,0.0
26177,20.181239388677078,0,8.136114,1,0.0
26224,21.602575988079202,0,2.3481386,1,0.0
14481,20.405235301824014,0,7.54975,1,0.0
8649,19.514884214290397,2,15.31842,1,0.0
27753,20.587745812141414,0,5.8214684,1,0.0
14503,19.93787836842259,0,10.261447,1,0.0
26297,20.02091967039554,2,12.283774,1,0.0
26320,22.04982463641016,0,1.7505038,1,0.0
26200,19.588485180055297,5,15.785973,1,0.0
8685,21.804830966928026,0,1.8564279,1,0.0
8680,21.98587640418072,0,1.9013422,1,0.0
5052,18.9088282433469,0,36.390884,1,0.0
26365,21.506550717176168,0,2.7726905,1,0.12345679012345678
6419,21.248176798655578,0,2.5799494,1,0.0
26486,22.098365244482416,0,1.449412,1,0.0
26510,19.47468395948502,0,15.801314,1,0.0
3483,21.021438512183373,0,4.185592,1,0.0
26557,21.849006133953353,1,1.8739032,1,0.0
26572,19.746392462168366,0,14.978488,1,0.0
26585,21.103792282278512,0,3.2689953,2,0.0
8763,21.31063639320196,0,2.758319,1,0.0
6431,18.903445104618463,3,28.479156,1,0.0
8753,19.09987314016109,1,28.78741,1,0.0
26711,19.655289074390097,0,14.132073,1,0.0
8812,19.77147101341719,1,13.032676,1,0.0
14758,21.846290345796515,0,2.3806374,1,0.0
1924,20.89423969456712,0,5.0454407,1,0.0
26875,20.366783148636557,0,7.558897,1,0.0
14789,19.788574527370653,0,10.031984,1,0.0
26818,21.84485470169882,0,1.9536213,1,0.0
6535,17.395554679976023,0,93.6458,1,0.0
15566,19.80287385459092,0,12.059223,1,0.0
14894,19.520463281715415,0,12.344275,1,0.0
5111,21.487408933567664,2,2.4196718,1,0.0
26939,22.311253319459937,0,1.0687879,2,0.0
6530,22.10400803089653,0,1.4929717,1,0.0
8896,21.87484097042899,0,2.0019011,1,0.0
26983,20.031320538288465,0,9.707924,1,0.0
27109,17.6134414566889,0,100.33785,1,0.0
8871,19.335852762364727,4,21.849821,1,0.0
26987,20.92751810507833,0,4.2643332,1,0.0
27007,18.395218331829728,0,35.243008,1,0.0
14950,20.883630858715428,0,4.162521,2,0.0
14897,22.436294213730356,0,1.0931426,1,0.0
3552,19.557141317773265,0,15.648342,1,0.0
1957,16.227938270699084,5,347.51868,1,0.0
6461,21.986792741457982,0,1.5577778,1,0.0
8928,18.977950620220014,4,24.026756,1,0.0
27227,20.2202097876727,0,10.611116,1,0.0
6468,16.965484689633406,0,155.87709,1,0.012345679012345678
27263,21.226958058277418,0,3.0073783,1,0.0
27274,18.81894834646762,5,25.040932,1,0.0
889,22.337897316095574,0,1.250343,1,0.0
25750,22.277987085804433,0,1.3848,1,0.0
25751,22.011471389852918,0,1.4847975,2,0.0
8958,22.309091193516927,0,1.6230258,1,0.0
27475,21.080404616376896,0,3.853692,1,0.0
8980,21.94281619438032,4,1.5981721,1,0.0
27432,21.037629960034884,0,3.5150368,1,0.0
27436,19.976818605893612,0,14.743531,1,0.0
15088,22.340938307963615,0,1.1667669,1,0.0
27479,21.977947560244868,0,1.6492814,1,0.0
25915,21.04203724191373,0,4.1691494,1,0.0
15891,21.670201160538674,0,2.2067206,1,0.0
27569,16.017291237599736,0,1.6899643,1,0.6049382716049383
27418,21.167841302619216,0,3.715774,1,0.0
27578,21.69206395838102,0,2.7617497,1,0.0
26073,17.89843799719882,0,92.77026,1,0.0
6488,18.72299834750731,0,32.42416,1,0.0
27661,21.094304179197312,0,3.0710344,1,0.0
9042,20.523025410166518,0,6.177429,1,0.0
27700,19.80413101161095,0,12.683556,1,0.0
27752,18.501095945233782,0,35.12849,1,0.0
9032,19.952068209737234,0,10.7919855,1,0.0
6408,17.48059997293516,0,11.1829815,1,0.6296296296296297
6490,16.362024784442497,0,284.80936,1,0.0
5184,17.248388148668873,0,117.73119,1,0.0
27850,18.9212191147831,5,29.682606,1,0.0
27908,19.3893193363173,0,17.947128,1,0.0
27898,22.11337147053841,0,1.195772,1,0.0
6502,15.915964169776018,0,454.48456,1,0.0
26464,18.76830416422834,0,34.12496,1,0.0
5070,16.20770288252477,0,278.983,1,0.0
15374,17.395834631803478,5,151.44537,1,0.0
6523,22.2244722502955,0,1.3707657,1,0.0
28178,21.62749285272745,0,2.043234,1,0.0
14692,20.423389623218522,0,6.7701807,1,0.0
6517,21.231432226259262,0,3.8043215,1,0.0
28215,19.799245060847547,0,12.703344,1,0.0
28307,21.121327635451603,0,3.7855797,1,0.0
9234,19.13730606359031,0,23.026052,1,0.0
9288,20.50316753746607,0,7.055338,1,0.0
28468,18.548550355280266,0,35.40638,1,0.0
3662,17.281240902839933,0,9.242653,1,0.6790123456790124
9262,17.12137491911743,0,130.14981,1,0.0
29660,19.5377430292874,0,17.98874,1,0.0
28495,21.388200295094734,0,2.5727062,1,0.0
15688,21.540612131306506,0,2.8355932,1,0.0
9283,21.814342564408435,0,2.0025709,1,0.0
28519,18.187318426757287,0,51.26415,1,0.0
28633,20.367767570934255,0,7.500138,1,0.0
3548,20.988604134985685,0,4.439297,1,0.0
28664,20.11729824403321,0,10.042081,1,0.0
28662,20.934328750129072,4,4.571354,1,0.0
14204,21.542500015385762,0,3.164,1,0.0
28750,22.411867131547506,0,1.0858717,1,0.0
3692,22.38280913349397,0,1.0121597,1,0.0
9361,21.824933659385632,0,2.0687947,1,0.0
